title,author,year
Alternities,Michael P. Kube-McDowell,1989
Adulthood Rites,Octavia E. Butler,1989
Catspaw,Joan D. Vinge,1989
At Winter's End,Robert Silverberg,1989
Brothers in Arms,Lois McMaster Bujold,1989
Ivory,Mike Resnick,1989
Wetware,Rudy Rucker,1989
Crazy Time,Kate Wilhelm,1989
Venus of Shadows,Pamela Sargent,1989
Orphan of Creation,Roger MacBride Allen,1989
The Gate to Women's Country,Sheri S. Tepper,1989
The Player of Games,Iain M. Banks,1989
Neon Lotus,Marc Laidlaw,1989
Hellspark,Janet Kagan,1989
Chronosequence,Hilbert Schenck,1989
Children of the Thunder,John Brunner,1989
Fire on the Mountain,Terry Bisson,1989
Terraplane,Jack Womack,1989
Starfire,Paul Preuss,1989
An Alien Light,Nancy Kress,1989
The Company Man,Joe Clifford Faust,1989
Red Prophet,Orson Scott Card,1989
The Paladin,C. J. Cherryh,1989
There Are Doors,Gene Wolfe,1989
Unicorn Mountain,Michael Bishop,1989
King of the Murgos,David Eddings,1989
The Last Coin,James P. Blaylock,1989
The Story of the Stone,Barry Hughart,1989
Greenmantle,Charles de Lint,1989
Lavondyss,Robert Holdstock,1989
The Dragonbone Chair,Tad Williams,1989
Wyvern,A. A. Attanasio,1989
The Healer's War,Elizabeth Ann Scarborough,1989
Druid's Blood,Esther M. Friesner,1989
The White Serpent,Tanith Lee,1989
Sister Light, Sister Dark,1989
Wyrd Sisters,Terry Pratchett,1989
Who's Afraid of Beowulf?,Tom Holt,1989
The Changeling Sea,Patricia A. McKillip,1989
The Reindeer People,Megan Lindholm,1989
Sleeping in Flame,Jonathan Carroll,1989
The White Raven,Diana L. Paxson,1989
Walkabout Woman,Michaela Roessner,1989
Silk Roads and Shadows,Susan Shwartz,1989
The Nightingale,Kara Dalkey,1989
Death in the Spirit House,Craig Strete,1989
Hyperion,Dan Simmons,1990
Rimrunners,C. J. Cherryh,1990
Grass,Sheri S. Tepper,1990
Tides of Light,Gregory Benford,1990
A Fire in the Sun,George Alec Effinger,1990
The Boat of a Million Years,Poul Anderson,1990
Rama II,Arthur C. Clarke&Gentry Lee,1990
Falcon,Emma Bull,1990
Phases of Gravity,Dan Simmons,1990
The City, Not Long After,1990
Imago,Octavia E. Butler,1990
A Talent for War,Jack McDevitt,1990
Good News from Outer Space,John Kessel,1990
The Third Eagle,R. A. MacAvoy,1990
Buying Time(UK title:The Long Habit of Living),Joe Haldeman,1990
Homegoing,Frederik Pohl,1990
Being Alien,Rebecca Ore,1990
Farewell Horizontal,K. W. Jeter,1990
Out on Blue Six,Ian McDonald,1990
Orbital Decay,Allen Steele,1990
The Child Garden,Geoff Ryman,1990
Sugar Rain,Paul Park,1990
Eden,Stanislaw Lem,1990
Dawn's Uncertain Light,Neal Barrett,1990
Black Milk,Robert Reed,1990
On My Way to Paradise,Dave Wolverton,1990
The Renegades of Pern,Anne McCaffrey,1990
The Queen of Springtime(US title:The New Springtime),Robert Silverberg,1990
Prentice Alvin,Orson Scott Card,1990
The Stress of Her Regard,Tim Powers,1990
Soldier of Arete,Gene Wolfe,1990
Rusalka,C. J. Cherryh,1990
Dream Baby,Bruce McAllister,1990
Lyonesse: Madouc,Jack Vance,1990
White Jenna,Jane Yolen,1990
The Satanic Verses,Salman Rushdie,1990
Sorceress of Darshiva,David Eddings,1990
A Child Across the Sky,Jonathan Carroll,1990
Tourists,Lisa Goldstein,1990
The Fortress of the Pearl,Michael Moorcock,1990
The Stone Giant,James P. Blaylock,1990
Guards! Guards!,Terry Pratchett,1990
Snow White and Rose Red,Patricia C. Wrede,1990
A Heroine of the World,Tanith Lee,1990
Marianne, the Matchbox,1990
Ars Magica,Judith Tarr,1990
Gate of Darkness, Circle of Light,1990
Apocalypse,Nancy Springer,1990
Queen's Gambit Declined,Melinda Snodgrass,1990
Arthur,Stephen R. Lawhead,1990
The Coachman Rat,David Henry Wilson,1990
Tours of the Black Clock,Steve Erickson,1990
The Cockroaches of Stay More,Donald Harington,1990
The Fall of Hyperion,Dan Simmons,1991
Earth,David Brin,1991
Queen of Angels,Greg Bear,1991
The Vor Game,Lois McMaster Bujold,1991
Voyage to the Red Planet,Terry Bisson,1991
Stranger in a Strange Land [Expanded Edition](original uncut edition),Robert A. Heinlein,1991
The Quiet Pools,Michael P. Kube-McDowell,1991
The Difference Engine,William Gibson&Bruce Sterling,1991
Jurassic Park,Michael Crichton,1991
The Ring of Charon,Roger MacBride Allen,1991
Pegasus in Flight,Anne McCaffrey,1991
Raising the Stones,Sheri S. Tepper,1991
Pacific Edge,Kim Stanley Robinson,1991
The Hemingway Hoax,Joe Haldeman,1991
Redshift Rendezvous,John E. Stith,1991
Summertide,Charles Sheffield,1991
Polar City Blues,Katharine Kerr,1991
The World at the End of Time,Frederik Pohl,1991
Clarke County, Space,1991
The Hollow Earth,Rudy Rucker,1991
The Rowan,Anne McCaffrey,1991
In the Country of the Blind,Michael F. Flynn,1991
The Ghost from the Grand Banks,Arthur C. Clarke,1991
The Divide,Robert Charles Wilson,1991
Agviq,Michael Armstrong,1991
Heathern,Jack Womack,1991
 The Last Book of Earthsea,Ursula K. Le Guin,1991
Good Omens,Terry Pratchett&Neil Gaiman,1991
Tigana,Guy Gavriel Kay,1991
Only Begotten Daughter,James Morrow,1991
Thomas the Rhymer,Ellen Kushner,1991
The Eye of the World,Robert Jordan,1991
The Blood of Roses,Tanith Lee,1991
Servant of the Empire,Raymond E. Feist&Janny Wurts,1991
Drink Down the Moon,Charles de Lint,1991
Rats and Gargoyles,Mary Gentle,1991
Ghostwood,Charles de Lint,1991
Moving Pictures,Terry Pratchett,1991
Dealing with Dragons,Patricia C. Wrede,1991
Time and Chance,Alan Brennert,1991
In Between Dragons,Michael Kandel,1991
Gossamer Axe,Ga�l Baudino,1991
Chase the Morning,Michael Scott Rohan,1991
Castleview,Gene Wolfe,1991
Barrayar,Lois McMaster Bujold,1992
Xenocide,Orson Scott Card,1992
Bone Dance,Emma Bull,1992
The Summer Queen,Joan D. Vinge,1992
All the Weyrs of Pern,Anne McCaffrey,1992
Stations of the Tide,Michael Swanwick,1992
Heavy Time,C. J. Cherryh,1992
The Dark Beyond the Stars,Frank M. Robinson,1992
Synners,Pat Cadigan,1992
Brain Child,George Turner,1992
The Garden of Rama,Arthur C. Clarke&Gentry Lee,1992
Ecce and Old Earth,Jack Vance,1992
A Woman of the Iron People,Eleanor Arnason,1992
Russian Spring,Norman Spinrad,1992
The Trinity Paradox,Kevin J. Anderson&Doug Beason,1992
Death Qualified: A Mystery of Chaos,Kate Wilhelm,1992
The Illegal Rebirth of Billy the Kid,Rebecca Ore,1992
The Ragged World,Judith Moffett,1992
Carve the Sky,Alexander Jablokov,1992
The Difference Engine,William Gibson&Bruce Sterling,1992
Eternal Light,Paul J. McAuley,1992
Buddy Holly Is Alive and Well on Ganymede,Bradley Denton,1992
Beauty,Sheri S. Tepper,1992
The Little Country,Charles de Lint,1992
Eight Skilled Gentlemen,Barry Hughart,1992
King of Morning, Queen of Day,1992
The Rainbow Abyss,Barbara Hambly,1992
The Hereafter Gang,Neal Barrett,1992
Witches Abroad,Terry Pratchett,1992
Riverrun,S. P. Somtow,1992
Outside the Dog Museum,Jonathan Carroll,1992
King of the Dead,R. A. MacAvoy,1992
Nothing Sacred,Elizabeth Ann Scarborough,1992
The Sorceress and the Cygnet,Patricia A. McKillip,1992
The Revenge of the Rose,Michael Moorcock,1992
Cloven Hooves,Megan Lindholm,1992
The Magic Spectacles,James P. Blaylock,1992
The End-of-Everything Man,Tom De Haven,1992
Flying Dutch,Tom Holt,1992
Elsewhere,Will Shetterly,1992
The White Mists of Power,Kristine Kathryn Rusch,1992
The Architecture of Desire,Mary Gentle,1992
Illusion,Paula Volsky,1992
Doomsday Book,Connie Willis,1993
Red Mars,Kim Stanley Robinson,1993
The Hollow Man,Dan Simmons,1993
A Fire Upon the Deep,Vernor Vinge,1993
Steel Beach,John Varley,1993
Anvil of Stars,Greg Bear,1993
Chanur's Legacy,C. J. Cherryh,1993
Mars,Ben Bova,1993
The Memory of Earth,Orson Scott Card,1993
Snow Crash,Neal Stephenson,1993
Worlds Enough and Time,Joe Haldeman,1993
Crystal Line,Anne McCaffrey,1993
Count Geiger's Blues,Michael Bishop,1993
Hellburner,C. J. Cherryh,1993
Sideshow,Sheri S. Tepper,1993
Aristoi,Walter Jon Williams,1993
Labyrinth of Night,Allen Steele,1993
Mining the Oort,Frederik Pohl,1993
Lord Kelvin's Machine,James P. Blaylock,1993
Hearts, Hands and Voices,1993
A Million Open Doors,John Barnes,1993
Jaran,Kate Elliott,1993
Glass Houses,Laura J. Mixon,1993
China Mountain Zhang,Maureen F. McHugh,1993
A Deeper Sea,Alexander Jablokov,1993
Alien Earth,Megan Lindholm,1993
�stival Tide,Elizabeth Hand,1993
Last Call,Tim Powers,1993
The Spirit Ring,Lois McMaster Bujold,1993
Briar Rose,Jane Yolen,1993
A Song for Arbonne,Guy Gavriel Kay,1993
Was,Geoff Ryman,1993
Winds of Change,Mercedes Lackey,1993
The Magicians of Night(UK title:Magicians of the Night),Barbara Hambly,1993
The Shadow Rising,Robert Jordan,1993
Domes of Fire,David Eddings,1993
Small Gods,Terry Pratchett,1993
Last Refuge,Elizabeth Ann Scarborough,1993
The Cutting Edge,Dave Duncan,1993
A Sudden Wild Magic,Diana Wynne Jones,1993
The Gypsy,Steven Brust&Megan Lindholm,1993
Forest of the Night,S. P. Somtow,1993
Flying in Place,Susan Palwick,1993
Green Mars,Kim Stanley Robinson,1994
Moving Mars,Greg Bear,1994
Beggars in Spain,Nancy Kress,1994
Virtual Light,William Gibson,1994
Glory Season,David Brin,1994
Hard Landing,Algis Budrys,1994
The Call of Earth,Orson Scott Card,1994
A Plague of Angels,Sheri S. Tepper,1994
Harvest of Stars,Poul Anderson,1994
Against a Dark Background,Iain M. Banks,1994
The Hammer of God,Arthur C. Clarke,1994
Ring of Swords,Eleanor Arnason,1994
Powers That Be,Anne McCaffrey&Elizabeth Ann Scarborough,1994
The Broken God,David Zindell,1994
Growing Up Weightless,John M. Ford,1994
Brother Termite,Patricia Anthony,1994
Godspeed,Charles Sheffield,1994
Elvissey,Jack Womack,1994
Vanishing Point,Michaela Roessner,1994
Chimera,Mary Rosenblum,1994
Red Dust,Paul J. McAuley,1994
The Gripping Hand,Larry Niven&Jerry Pournelle,1994
Nightside the Long Sun,Gene Wolfe,1994
Timelike Infinity,Stephen Baxter,1994
Assemblers of Infinity,Kevin J. Anderson&Doug Beason,1994
The Innkeeper's Song,Peter S. Beagle,1994
The Iron Dragon's Daughter,Michael Swanwick,1994
To Green Angel Tower,Tad Williams,1994
The Thread That Binds the Bones,Nina Kiriki Hoffman,1994
Strange Devices of the Sun and Moon,Lisa Goldstein,1994
The Fires of Heaven,Robert Jordan,1994
Deerskin,Robin McKinley,1994
Dog Wizard,Barbara Hambly,1994
Lord of the Two Lands,Judith Tarr,1994
The Hollowing,Robert Holdstock,1994
Faery in Shadow,C. J. Cherryh,1994
The Porcelain Dove,Delia Sherman,1994
Winter of the Wolf(US title:The Belly of the Wolf),R. A. MacAvoy,1994
The Far Kingdoms,Allan Cole&Chris Bunch,1994
The Cygnet and the Firebird,Patricia A. McKillip,1994
The Wizard's Apprentice,S. P. Somtow,1994
Bones of the Past,Holly Lisle,1994
Dragon Star Book III: Skybowl,Melanie Rawn,1994
The Robin & the Kestrel,Mercedes Lackey,1994
Mirror Dance,Lois McMaster Bujold,1995
Parable of the Sower,Octavia E. Butler,1995
Foreigner,C. J. Cherryh,1995
Mother of Storms,John Barnes,1995
Beggars and Choosers,Nancy Kress,1995
Heavy Weather,Bruce Sterling,1995
Worldwar: In the Balance,Harry Turtledove,1995
Rama Revealed,Arthur C. Clarke&Gentry Lee,1995
Cald� of the Long Sun,Gene Wolfe,1995
The Dolphins of Pern,Anne McCaffrey,1995
The Engines of God,Jack McDevitt,1995
Furious Gulf,Gregory Benford,1995
The Stars Are Also Fire,Poul Anderson,1995
Shadow's End,Sheri S. Tepper,1995
Summer of Love,Lisa Mason,1995
Necroville(US title:Terminal Caf�),Ian McDonald,1995
Tripoint,C. J. Cherryh,1995
The Voices of Heaven,Frederik Pohl,1995
Feersum Endjinn,Iain M. Banks,1995
Half the Day is Night,Maureen F. McHugh,1995
Ring,Stephen Baxter,1995
Permutation City,Greg Egan,1995
Genetic Soldier,George Turner,1995
Climbing Olympus,Kevin J. Anderson,1995
Random Acts of Senseless Violence,Jack Womack,1995
Wildlife,James Patrick Kelly,1995
End of an Era,Robert J. Sawyer,1995
Solis,A. A. Attanasio,1995
Pasquale's Angel,Paul J. McAuley,1995
Mysterium,Robert Charles Wilson,1995
The Jericho Iteration,Allen Steele,1995
Brittle Innings,Michael Bishop,1995
Towing Jehovah,James Morrow,1995
Lord of Chaos,Robert Jordan,1995
Finder,Emma Bull,1995
Memory & Dream,Charles de Lint,1995
Love & Sleep,John Crowley,1995
Five Hundred Years After,Steven Brust,1995
Storm Warning,Mercedes Lackey,1995
Larque on the Wing,Nancy Springer,1995
Summer King, Winter Fool,1995
Merlin's Wood,Robert Holdstock,1995
A College of Magics,Caroline Stevermer,1995
The Warrior's Tale,Allan Cole&Chris Bunch,1995
The Forest House,Marion Zimmer Bradley,1995
Slow Funeral,Rebecca Ore,1995
Shadow of a Dark Queen,Raymond E. Feist,1995
Temporary Agency,Rachel Pollack,1995
Rhinegold,Stephan Grundy,1995
The Dubious Hills,Pamela Dean,1995
Exiles 1: The Ruins of Ambrai,Melanie Rawn,1995
The Diamond Age,Neal Stephenson,1996
Brightness Reef,David Brin,1996
Invader,C. J. Cherryh,1996
Legacy,Greg Bear,1996
The Time Ships,Stephen Baxter,1996
Sailing Bright Eternity,Gregory Benford,1996
Chaga(US title:Evolution's Shore),Ian McDonald,1996
Metropolitan,Walter Jon Williams,1996
Worldwar: Tilting the Balance,Harry Turtledove,1996
Slow River,Nicola Griffith,1996
Amnesia Moon,Jonathan Lethem,1996
Kaleidoscope Century,John Barnes,1996
Fairyland,Paul J. McAuley,1996
The Ganymede Club,Charles Sheffield,1996
The Killing Star,Charles Pellegrino&George Zebrowski,1996
Gaia's Toys,Rebecca Ore,1996
The Stone Garden,Mary Rosenblum,1996
Testament,Valerie J. Freireich,1996
The Golden Nineties,Lisa Mason,1996
Shadow Man,Melissa Scott,1996
The Terminal Experiment,Robert J. Sawyer,1996
An Exaltation of Larks,Robert Reed,1996
Alvin Journeyman,Orson Scott Card,1996
Waking the Moon(revised),Elizabeth Hand,1996
Fortress in the Eye of Time,C. J. Cherryh,1996
The Lions of Al-Rassan,Guy Gavriel Kay,1996
Resurrection Man,Sean Stewart,1996
The Silent Strength of Stones,Nina Kiriki Hoffman,1996
The Book of Atrix Wolfe,Patricia A. McKillip,1996
Blood,Michael Moorcock,1996
Storm Rising,Mercedes Lackey,1996
City of Bones,Martha Wells,1996
Crown of Shadows,C. S. Friedman,1996
Maskerade,Terry Pratchett,1996
Zod Wallop,William Browning Spencer,1996
Assassin's Apprentice,Robin Hobb,1996
Stone of Tears,Terry Goodkind,1996
The Tower of Beowulf,Parke Godwin,1996
A Sorcerer and a Gentleman,Elizabeth Willey,1996
World Without End,Sean Russell,1996
Harp of Winds,Maggie Furey,1996
Blue Mars,Kim Stanley Robinson,1997
Endymion,Dan Simmons,1997
Memory,Lois McMaster Bujold,1997
Cetaganda,Lois McMaster Bujold,1997
Holy Fire,Bruce Sterling,1997
Idoru,William Gibson,1997
Inheritor,C. J. Cherryh,1997
Night Lamp,Jack Vance,1997
Fairyland,Paul J. McAuley,1997
Exodus from the Long Sun,Gene Wolfe,1997
Voyage,Stephen Baxter,1997
Beggars Ride,Nancy Kress,1997
Excession,Iain M. Banks,1997
The Ringworld Throne,Larry Niven,1997
Children of the Mind,Orson Scott Card,1997
Otherland: City of Golden Shadow,Tad Williams,1997
Dreamfall,Joan D. Vinge,1997
Remnant Population,Elizabeth Moon,1997
Distress,Greg Egan,1997
Pirates of the Universe,Terry Bisson,1997
River of Dust,Alexander Jablokov,1997
Night Sky Mine,Melissa Scott,1997
The Other End of Time,Frederik Pohl,1997
Gibbon's Decline and Fall,Sheri S. Tepper,1997
The Tranquillity Alternative,Allen Steele,1997
Oaths and Miracles,Nancy Kress,1997
Infinity's Shore,David Brin,1997
A Game of Thrones,George R. R. Martin,1997
Lunatics,Bradley Denton,1997
Winter Rose,Patricia A. McKillip,1997
Blameless in Abaddon,James Morrow,1997
Royal Assassin,Robin Hobb,1997
A Crown of Swords,Robert Jordan,1997
Feet of Clay,Terry Pratchett,1997
Nadya: The Wolf Chronicles,Pat Murphy,1997
The Prestige,Christopher Priest,1997
The Wood Wife,Terri Windling,1997
One for the Morning Glory,John Barnes,1997
Walking the Labyrinth,Lisa Goldstein,1997
Ancient Echoes,Robert Holdstock,1997
Clouds End,Sean Stewart,1997
The Golden Compass(UK title:Northern Lights),Philip Pullman,1997
Mother of Winter,Barbara Hambly,1997
Fair Peril,Nancy Springer,1997
Blood of the Fold,Terry Goodkind,1997
Firebird,Mercedes Lackey,1997
The Golden Key,Melanie Rawn,1997
The Dragon and the Unicorn,A. A. Attanasio,1997
Sea Without a Shore,Sean Russell,1997
The Rise of Endymion,Dan Simmons,1998
Antarctica,Kim Stanley Robinson,1998
Forever Peace,Joe Haldeman,1998
Saint Leibowitz and the Wild Horse Woman,Walter M. Miller,1998
Finity's End,C. J. Cherryh,1998
/ Slant,Greg Bear,1998
Diaspora,Greg Egan,1998
Fool's War,Sarah Zettel,1998
Titan,Stephen Baxter,1998
3001: The Final Odyssey,Arthur C. Clarke,1998
The Reality Dysfunction,Peter F. Hamilton,1998
God's Fires,Patricia Anthony,1998
Corrupting Dr. Nice,John Kessel,1998
Destiny's Road,Larry Niven,1998
Eternity Road,Jack McDevitt,1998
The Black Sun,Jack Williamson,1998
The Family Tree,Sheri S. Tepper,1998
Glimmering,Elizabeth Hand,1998
Secret Passages,Paul Preuss,1998
The Fleet of Stars,Poul Anderson,1998
Mississippi Blues,Kathleen Ann Goonan,1998
The Calcutta Chromosome,Amitav Ghosh,1998
Dreaming Metal,Melissa Scott,1998
Tomorrow and Tomorrow,Charles Sheffield,1998
The Dazzle of Day,Molly Gloss,1998
Once a Hero,Elizabeth Moon,1998
Einstein's Bridge,John Cramer,1998
Deception Well,Linda Nagata,1998
Earthquake Weather,Tim Powers,1998
Jack Faust,Michael Swanwick,1998
City on Fire,Walter Jon Williams,1998
The Dark Tower IV: Wizard and Glass,Stephen King,1998
Assassin's Quest,Robin Hobb,1998
The Moon and the Sun,Vonda N. McIntyre,1998
Freedom & Necessity,Steven Brust&Emma Bull,1998
Trader,Charles de Lint,1998
The Gift,Patrick O'Leary,1998
Winter Tides,James P. Blaylock,1998
The Subtle Knife,Philip Pullman,1998
Rose Daughter,Robin McKinley,1998
Dogland,Will Shetterly,1998
King's Dragon,Kate Elliott,1998
Lord of the Isles,David Drake,1998
Gate of Ivory, Gate of Horn,1998
Running with the Demon,Terry Brooks,1998
The Mines of Behemoth,Michael Shea,1998
My Soul to Keep,Tananarive Due,1998
The Night Watch,Sean Stewart,1998
The Stars Dispose,Michaela Roessner,1998
The Blackgod,J. Gregory Keyes,1998
To Say Nothing of the Dog,Connie Willis,1999
Darwinia,Robert Charles Wilson,1999
The Alien Years,Robert Silverberg,1999
Distraction,Bruce Sterling,1999
The Golden Globe,John Varley,1999
Cosm,Gregory Benford,1999
Children of God,Mary Doria Russell,1999
Parable of the Talents,Octavia E. Butler,1999
Ports of Call,Jack Vance,1999
Starfarers,Poul Anderson,1999
Dinosaur Summer,Greg Bear,1999
Six Moon Dance,Sheri S. Tepper,1999
Maximum Light,Nancy Kress,1999
Moonseed,Stephen Baxter,1999
Komarr,Lois McMaster Bujold,1999
Mission Child,Maureen F. McHugh,1999
Vast,Linda Nagata,1999
Child of the River,Paul J. McAuley,1999
Deepdrive,Alexander Jablokov,1999
Girl in Landscape,Jonathan Lethem,1999
Otherland: River of Blue Fire,Tad Williams,1999
Earth Made of Glass,John Barnes,1999
The Children Star,Joan Slonczewski,1999
Bloom,Wil McCarthy,1999
Noir,K. W. Jeter,1999
Moonfall,Jack McDevitt,1999
Prisoner of Conscience,Susan R. Matthews,1999
Kirinya,Ian McDonald,1999
The Cassini Division,Ken MacLeod,1999
The Shapes of Their Hearts,Melissa Scott,1999
A Clash of Kings,George R. R. Martin,1999
Stardust,Neil Gaiman,1999
Mockingbird,Sean Stewart,1999
Heartfire,Orson Scott Card,1999
Fortress of Eagles,C. J. Cherryh,1999
Newton's Cannon,J. Gregory Keyes,1999
Song for the Basilisk,Patricia A. McKillip,1999
Sailing to Sarantium,Guy Gavriel Kay,1999
Someplace to Be Flying,Charles de Lint,1999
Dragon's Winter,Elizabeth A. Lynn,1999
Prince of Dogs,Kate Elliott,1999
Dark Lord of Derkholm,Diana Wynne Jones,1999
The One-Armed Queen,Jane Yolen,1999
Changer,Jane Lindskold,1999
Juniper, Gentian,1999
The Gilded Chain,Dave Duncan,1999
The Innamorati,Midori Snyder,1999
Bhagavati,Kara Dalkey,1999
The Book of Knights,Yves Meynard,1999
Harry Potter and the Philosopher's Stone(US title:Harry Potter and the Sorcerer's Stone),J. K. Rowling,1999
Cryptonomicon,Neal Stephenson,2000
Darwin's Radio,Greg Bear,2000
A Deepness in the Sky,Vernor Vinge,2000
A Civil Campaign,Lois McMaster Bujold,2000
Ender's Shadow,Orson Scott Card,2000
Forever Free,Joe Haldeman,2000
Precursor,C. J. Cherryh,2000
On Blue's Waters,Gene Wolfe,2000
The Naked God,Peter F. Hamilton,2000
Teranesia,Greg Egan,2000
The Cassini Division,Ken MacLeod,2000
The Martian Race,Gregory Benford,2000
Waiting,Frank M. Robinson,2000
Time: Manifold 1(US title:Manifold: Time),Stephen Baxter,2000
All Tomorrow's Parties,William Gibson,2000
Bios,Robert Charles Wilson,2000
The Far Shore of Time,Frederik Pohl,2000
Greenhouse Summer,Norman Spinrad,2000
Finity,John Barnes,2000
Ancients of Days,Paul J. McAuley,2000
Souls in the Great Machine,Sean McMullen,2000
Singer from the Sea,Sheri S. Tepper,2000
The Extremes,Christopher Priest,2000
The Conqueror's Child,Suzy McKee Charnas,2000
Tower of Dreams,Jamil Nasir,2000
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2000
The Fifth Elephant,Terry Pratchett,2000
Fortress of Owls,C. J. Cherryh,2000
Dark Cities Underground,Lisa Goldstein,2000
Tamsin,Peter S. Beagle,2000
The Eternal Footman,James Morrow,2000
Enchantment,Orson Scott Card,2000
Mr. X,Peter Straub,2000
A Calculus of Angels,J. Gregory Keyes,2000
The Marriage of Sticks,Jonathan Carroll,2000
Dragonshadow,Barbara Hambly,2000
A Red Heart of Memories,Nina Kiriki Hoffman,2000
The Rainy Season,James P. Blaylock,2000
Black Light,Elizabeth Hand,2000
The Stars Compel,Michaela Roessner,2000
The Sub,Thomas M. Disch,2000
Saint Fire,Tanith Lee,2000
The Wild Swans,Peg Kerr,2000
Sea Dragon Heir,Storm Constantine,2000
Rhapsody,Elizabeth Haydon,2000
The Telling,Ursula K. Le Guin,2001
Eater,Gregory Benford,2001
Zeitgeist,Bruce Sterling,2001
The Coming,Joe Haldeman,2001
In Green's Jungles,Gene Wolfe,2001
The Sky Road,Ken MacLeod,2001
Look to Windward,Iain M. Banks,2001
Space: Manifold 2(US title:Manifold: Space),Stephen Baxter,2001
Midnight Robber,Nalo Hopkinson,2001
Probability Moon,Nancy Kress,2001
Crescent City Rhapsody,Kathleen Ann Goonan,2001
The Collapsium,Wil McCarthy,2001
Marrow,Robert Reed,2001
The Fountains of Youth,Brian Stableford,2001
Genesis,Poul Anderson,2001
The Fresco,Sheri S. Tepper,2001
Shrine of Stars,Paul J. McAuley,2001
Ventus,Karl Schroeder,2001
Candle,John Barnes,2001
Hunted,James Alan Gardner,2001
Colony Fleet,Susan R. Matthews,2001
Revelation Space,Alastair Reynolds,2001
The Jazz,Melissa Scott,2001
The Miocene Arrow,Sean McMullen,2001
Outlaw School,Rebecca Ore,2001
Mars Crossing,Geoffrey A. Landis,2001
Distance Haze,Jamil Nasir,2001
Ashes of Victory,David Weber,2001
Infinity Beach,Jack McDevitt,2001
A Storm of Swords,George R. R. Martin,2001
Declare,Tim Powers,2001
The Amber Spyglass,Philip Pullman,2001
Perdido Street Station,China Mi�ville,2001
Ash: A Secret History,Mary Gentle,2001
Galveston,Sean Stewart,2001
Lord of Emperors,Guy Gavriel Kay,2001
Forests of the Heart,Charles de Lint,2001
The Truth,Terry Pratchett,2001
Fortress of Dragons,C. J. Cherryh,2001
The Tower at Stony Wood,Patricia A. McKillip,2001
Daemonomania,John Crowley,2001
A Kiss of Shadows,Laurell K. Hamilton,2001
Winter's Heart,Robert Jordan,2001
White as Snow,Tanith Lee,2001
Prophecy,Elizabeth Haydon,2001
Ship of Destiny,Robin Hobb,2001
Harry Potter and the Goblet of Fire,J. K. Rowling,2001
Canyons,P. D. Cacek,2001
King Kelson's Bride,Katherine Kurtz,2001
Empire of Unreason,J. Gregory Keyes,2001
Spindle's End,Robin McKinley,2001
Year of the Griffin,Diana Wynne Jones,2001
Knight of the Demon Queen,Barbara Hambly,2001
The Gate of Fire,Thomas Harlan,2001
The Grand Ellipse,Paula Volsky,2001
Passage,Connie Willis,2002
Shadow of the Hegemon,Orson Scott Card,2002
The Chronoliths,Robert Charles Wilson,2002
Return to the Whorl,Gene Wolfe,2002
Defender,C. J. Cherryh,2002
Cosmonaut Keep,Ken MacLeod,2002
Nekropolis,Maureen F. McHugh,2002
Probability Sun,Nancy Kress,2002
Chasm City,Alastair Reynolds,2002
Origin: Manifold 3,Stephen Baxter,2002
The Pickup Artist,Terry Bisson,2002
Ship of Fools,Richard Paul Russo,2002
Terraforming Earth,Jack Williamson,2002
Appleseed,John Clute,2002
The Secret of Life,Paul McAuley,2002
The Merchants of Souls,John Barnes,2002
Dark Light,Ken MacLeod,2002
Metaplanetary,Tony Daniel,2002
Dervish Is Digital,Pat Cadigan,2002
Going, Going,2002
Limit of Vision,Linda Nagata,2002
The Cassandra Complex,Brian Stableford,2002
Eyes of the Calculor,Sean McMullen,2002
Maelstrom,Peter Watts,2002
The Eyre Affair,Jasper Fforde,2002
A Paradigm of Earth,Candas Jane Dorsey,2002
Deepsix,Jack McDevitt,2002
Whole Wide World,Paul McAuley,2002
Angel of Destruction,Susan R. Matthews,2002
American Gods,Neil Gaiman,2002
The Other Wind,Ursula K. Le Guin,2002
The Curse of Chalion,Lois McMaster Bujold,2002
The Wooden Sea,Jonathan Carroll,2002
Thief of Time,Terry Pratchett,2002
The Onion Girl,Charles de Lint,2002
Black House,Stephen King&Peter Straub,2002
From the Dust Returned,Ray Bradbury,2002
Otherland: Sea of Silver Light,Tad Williams,2002
Fool's Errand,Robin Hobb,2002
The Dreamthief's Daughter,Michael Moorcock,2002
Smoking Poppy,Graham Joyce,2002
Mother of Kings,Poul Anderson,2002
Coldheart Canyon,Clive Barker,2002
Lirael,Garth Nix,2002
Past the Size of Dreaming,Nina Kiriki Hoffman,2002
The Beyond,Jeffrey Ford,2002
Kushiel's Dart,Jacqueline Carey,2002
Bold as Love,Gwyneth Jones,2002
The House in the High Woold,Jeffrey E. Barlough,2002
Dead Until Dark,Charlaine Harris,2002
The Shadows of God,J. Gregory Keyes,2002
The One Kingdom,Sean Russell,2002
The Hauntings of Hood Canal,Jack Cady,2002
Lost,Gregory Maguire,2002
The Years of Rice and Salt,Kim Stanley Robinson,2003
Kiln People,David Brin,2003
Bones of the Earth,Michael Swanwick,2003
Redemption Ark,Alastair Reynolds,2003
Coyote,Allen Steele,2003
Light,M. John Harrison,2003
Shadow Puppets,Orson Scott Card,2003
Chindi,Jack McDevitt,2003
